name,company,year,Price,kms_driven,fuel_type
Hyundai Santro Xing,Hyundai,2007,80000,45000,Petrol
Mahindra Jeep CL550,Mahindra,2006,425000,40,Diesel
Hyundai Grand i10,Hyundai,2014,325000,28000,Petrol
Ford EcoSport Titanium,Ford,2014,575000,36000,Diesel
Ford Figo,Ford,2012,175000,41000,Diesel
Hyundai Eon,Hyundai,2013,190000,25000,Petrol
Ford EcoSport Ambiente,Ford,2016,830000,24530,Diesel
Maruti Suzuki Alto,Maruti,2015,250000,60000,Petrol
Skoda Fabia Classic,Skoda,2010,182000,60000,Petrol
Maruti Suzuki Stingray,Maruti,2015,315000,30000,Petrol
Hyundai Elite i20,Hyundai,2014,415000,32000,Petrol
Mahindra Scorpio SLE,Mahindra,2015,320000,48660,Diesel
Hyundai Santro Xing,Hyundai,2007,80000,45000,Petrol
Mahindra Jeep CL550,Mahindra,2006,425000,40,Diesel
Audi A8,Audi,2017,1000000,4000,Petrol
Audi Q7,Audi,2014,500000,16934,Diesel
Mahindra Scorpio S10,Mahindra,2016,350000,43000,Diesel
Maruti Suzuki Alto,Maruti,2014,160000,35550,Petrol
Mahindra Scorpio S10,Mahindra,2016,350000,43000,Diesel
Mahindra Scorpio S10,Mahindra,2016,310000,39522,Diesel
Maruti Suzuki Alto,Maruti,2015,75000,39000,Petrol
Hyundai i20 Sportz,Hyundai,2012,100000,55000,Petrol
Hyundai i20 Sportz,Hyundai,2012,100000,55000,Petrol
Hyundai i20 Sportz,Hyundai,2012,100000,55000,Petrol
Maruti Suzuki Alto,Maruti,2017,190000,72000,Petrol
Maruti Suzuki Vitara,Maruti,2016,290000,15975,Diesel
Maruti Suzuki Alto,Maruti,2008,95000,70000,Petrol
Mahindra Bolero DI,Mahindra,2017,180000,23452,Diesel
Maruti Suzuki Swift,Maruti,2014,385000,35522,Diesel
Mahindra Scorpio S10,Mahindra,2015,250000,48508,Diesel
Maruti Suzuki Swift,Maruti,2017,180000,15487,Petrol
Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol
Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol
Toyota Innova 2.0,Toyota,2012,650000,82000,Diesel
Renault Lodgy 85,Renault,2018,689999,20000,Diesel
Skoda Yeti Ambition,Skoda,2012,448000,68000,Diesel
Maruti Suzuki Baleno,Maruti,2017,549000,32000,Diesel
Renault Duster 110,Renault,2012,501000,38000,Diesel
Renault Duster 85,Renault,2013,489999,27000,Diesel
Honda City 1.5,Honda,2011,280000,33000,Petrol
Maruti Suzuki Alto,Maruti,2015,250000,60000,Petrol
Maruti Suzuki Dzire,Maruti,2013,349999,46000,Diesel
Honda Amaze,Honda,2013,284999,46000,Diesel
Honda Amaze 1.5,Honda,2015,345000,36000,Diesel
Honda City,Honda,2015,499999,55000,Petrol
Datsun Redi GO,Datsun,2017,235000,16000,Petrol
Maruti Suzuki SX4,Maruti,2010,249999,36000,Petrol
Mitsubishi Pajero Sport,Mitsubishi,2015,1475000,47000,Diesel
Mahindra Bolero DI,Mahindra,2017,180000,23452,Diesel
Maruti Suzuki Swift,Maruti,2014,385000,35522,Diesel
Mahindra Scorpio S10,Mahindra,2015,250000,48508,Diesel
Maruti Suzuki Swift,Maruti,2017,180000,15487,Petrol
Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol
Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol
Mahindra Scorpio S10,Mahindra,2015,395000,35000,Diesel
Maruti Suzuki Swift,Maruti,2017,220000,30874,Petrol
Honda City ZX,Honda,2017,170000,15000,Diesel
Maruti Suzuki Wagon,Maruti,2013,85000,29685,Petrol
Ford Figo,Ford,2012,175000,41000,Diesel
Hyundai Eon,Hyundai,2013,190000,25000,Petrol
Tata Indigo eCS,Tata,2017,200000,130000,Diesel
Ford EcoSport Ambiente,Ford,2016,830000,24530,Diesel
Tata Indigo eCS,Tata,2017,200000,130000,Diesel
Mahindra Scorpio SLE,Mahindra,2012,570000,19000,Diesel
Volkswagen Polo Highline,Volkswagen,2014,315000,60000,Petrol
Skoda Fabia Classic,Skoda,2010,182000,60000,Petrol
Maruti Suzuki Stingray,Maruti,2015,315000,30000,Petrol
Chevrolet Spark LS,Chevrolet,2010,110000,41000,Petrol
Renault Duster 110PS,Renault,2012,501000,35000,Diesel
